english_name,account_id,naive_mape,moving_avg_mape,seasonal_naive_mape,best_model
 Bonuses - Employees,8503D,0.0,0.0,0.0,naive
 NV Months Supply (Guide 2.5 months),6063DZ,11.355883460111903,8.916647993137792,8.98745493030584,moving_avg
 Taxes - Other,8403D,0.0,0.0,0.0,naive
 UV Units Sold Per UV Sales Rep.,6076DZ,792299934444811.8,375299968947542.75,333599972397816.5,seasonal_naive
# of Productive Bays,50001SD,0.2962962962962963,0.3081275720164609,0.4212962962962963,naive
# of Productive Bays,50001SDY,0.7551827801827801,0.6412945593501149,0.8197570947570948,moving_avg
# of Productive Bays ,50101SD,0.0,0.0,0.0,naive
# of Productive Bays ,50101SDY,0.0,0.0,0.0,naive
# of Working Days,50108SD,0.0,0.0,0.0,naive
# of Working Days ,50008SD,0.060864914812283226,0.04901401933565676,0.1639346683206332,moving_avg
% Return on Operating Investment,6026DZ,4.028067876601285,4.8432824186914685,8.597033021329548,naive
% Return on Sales (Before Income Tax),6025DZ,4.376774382522963,4.343165026825205,14.768955343917197,moving_avg
% Return on Sales (Before Income Tax),6036DZ,175973985439850.84,144837988016053.22,120095990063218.42,seasonal_naive
% of Labour Sales CP,6112DZ,2.5992106639430537,1.6761086399095817,1.382712239016192,seasonal_naive
% of Labour Sales CP,6130DZ,4.947912955880961,6.4871429128839795,2.0779922163429463,seasonal_naive
% of Labour Sales CP,6148DZ,2676305778561469.0,732251939413204.4,1.4600505416171543,seasonal_naive
% of Labour Sales CPO Warranty,6115DZ,0.0,0.0,0.0,naive
% of Labour Sales CPO Warranty,6133DZ,0.0,0.0,0.0,naive
% of Labour Sales CPO Warranty,6151DZ,0.0,0.0,0.0,naive
% of Labour Sales DCP,6114DZ,0.0,0.0,0.0,naive
% of Labour Sales DCP,6132DZ,0.0,0.0,0.0,naive
% of Labour Sales DCP,6150DZ,0.0,0.0,0.0,naive
% of Labour Sales Internal,6116DZ,4.799892410636908,3.5248078285536213,2.213468576159759,seasonal_naive
% of Labour Sales Internal,6134DZ,2.872734690639994,3.585391084920545,1.4417978794169641,seasonal_naive
% of Labour Sales Internal,6152DZ,2549537789050301.0,401153966808373.94,3.5206300443242697,seasonal_naive
% of Labour Sales Other,6117DZ,0.0,0.0,0.0,naive
% of Labour Sales Other,6135DZ,0.0,0.0,0.0,naive
% of Labour Sales Other,6153DZ,0.0,0.0,0.0,naive
% of Labour Sales Warranty,6113DZ,2.52169303479521,1.5522819730330135,3.161082399506296,moving_avg
% of Labour Sales Warranty,6131DZ,7.210686255548414,11.043460257163646,2.0269435553028083,seasonal_naive
% of Labour Sales Warranty,6149DZ,470375961080921.75,499843958642727.8,5.813310277913506,seasonal_naive
"(
Cars
 )",1430CU,0.0,0.0,0.0,naive
"(
Cars
 )",1440CU,0.0,0.0,0.0,naive
"(
Cars
)",1430TU,0.0,0.0,0.0,naive
"(
Cars
)",1450UU,0.8012221072003681,0.8278726708074534,1.7327984817115254,naive
"(
Cars
)",1490UU,0.0,0.0,0.0,naive
"(
Cars
)",1495UU,0.20885249393167324,0.2367433033081192,0.8044959552198776,naive
"(
Cars
)",24000UU,0.23686216029264776,0.22588244898530688,0.9395881472112063,moving_avg
"(
Eclipse
Cross
)",1420QTU,0.6414402349042871,0.657863951790967,0.7257675573035051,naive
"(
Out.
PHEV
)",1420PTU,0.38425972729670516,0.3884591148689703,0.7601981223378129,naive
"(
Outlander
)",1420OTU,0.3901907879266014,0.38236567247711184,0.5507286716268622,moving_avg
"(
RVR
 )",1420RTU,0.857753409142298,1.3400538590353408,1.300743700743701,naive
"(
SUVs
 )",1440TU,0.0,0.0,0.0,naive
"(
SUVs
)",1450VV,3419399717077598.5,2529799790683426.5,3002399751580331.0,moving_avg
"(
SUVs
)",1490VV,0.0,0.0,0.0,naive
"(
Trucks
)",1495VV,0.0,1084199910292897.1,1.609619866819455e+16,naive
"(
Trucks
)",24000VV,3419399717077598.5,2529799790683426.5,3002399751580331.0,moving_avg
( Mirage ),1400MCU,1584599868889619.0,2335199806784702.0,1000799917193444.0,seasonal_naive
(Assets Line 50 minus Liabilities Line 27),800000D,0.11047364890780893,0.1250951489053649,0.3587955142078632,naive
(Manufacturer Requirement),800001D,0.0,0.0,0.0,naive
+ / -,6029DZ,5.442075616785729,7.1832581531724,5.55501707836809,naive
0 - 3 Months ,50040ST,1.2574816649275622,1.4533159908034607,2.17986092643407,naive
0 - 3 Months ,50045ST,0.18770913157780217,0.19712259737235638,0.35896891093945515,naive
1 - 30 Days,50030ST,0.0,2001599834386887.0,1.8764998447377068e+16,naive
1 - 30 Days,50035ST,0.5611726567592223,0.5005673933991592,0.5863343998716009,moving_avg
1 - 30 Days ,50020ST,0.4168161781226572,0.3374120090570077,0.4688774054716084,moving_avg
1 - 30 Days ,50025ST,0.3755746093028375,0.3249030821833864,0.5294323145544619,moving_avg
12+ Months ,50043ST,0.2621088242541124,0.19921616917300472,0.41038735825504113,moving_avg
12+ Months ,50048ST,0.16707628105118702,0.21391835771702877,0.3732666378843341,naive
31 - 60 Days,50021ST,0.4756130522384393,0.41509088474029426,0.5670347573727347,moving_avg
31 - 60 Days,50026ST,0.4701507144118863,0.44483761676167943,0.6808724732226695,moving_avg
31 - 60 Days,50031ST,0.3555206599081061,0.2742285134325554,0.555670996885715,moving_avg
